time,network speed test ping (s),jitter (s),upload (bit/s),download (bit/s),charmhub resource download mean (s),min (s),max (s),
2024-12-23T03:12:03+0000,100.73,3.58,532.73,546.26,35.642,30.61,40.31,
2024-12-23T03:40:53+0000,93,3.29,684.6,740.87,41.269999999999996,33.94,53.91,
2024-12-23T04:07:20+0000,104.91,6.91,663.52,637.87,33.168,27.91,38.34,
2024-12-23T04:41:50+0000,102.91,2.73,842.4,433.82,53.426,26.05,90.93,
2024-12-23T05:06:32+0000,24.73,0.86,5219.39,486.29,26.056,22.67,32.6,
2024-12-23T05:37:39+0000,32.09,4.43,5151.45,489.43,26.558,21.79,35.45,
2024-12-23T06:07:54+0000,98.45,3.04,730.46,752.11,35.376,32.54,43.88,
2024-12-23T06:41:08+0000,20.91,0.81,5952.26,352.21,27.44,22.99,32.78,
2024-12-23T07:06:55+0000,41.09,43.41,5422.8,696.16,31.136000000000003,22.61,47.59,
2024-12-23T07:36:08+0000,24.09,0.3,590.21,484.91,30.376,25.26,35.89,
2024-12-23T08:07:43+0000,96,2.59,581.47,724.75,32.296,28.62,38.11,
2024-12-23T08:43:04+0000,96.45,2.42,633.65,710.27,68.332,27.97,86.44,
2024-12-23T09:06:44+0000,22.18,0.26,5712.99,519.68,29.906,23.03,40.98,
2024-12-23T09:36:28+0000,20.64,0.55,4871.68,609.76,27.802,24.74,32.24,
2024-12-23T10:06:44+0000,30.27,1.44,927.7,458.3,26.678,23.93,32.25,
2024-12-23T10:38:45+0000,45.55,73.92,6867.74,274.74,22.844,21.87,23.55,
2024-12-23T11:12:45+0000,90.36,4,726.95,818.3,105.696,24.96,421.17,
2024-12-23T11:35:19+0000,23.91,0.04,831.54,620.05,25.952,23.24,30.25,
2024-12-23T12:08:33+0000,92.82,4.15,489.05,695.61,33.868,28.64,36.43,
2024-12-23T12:47:07+0000,24.09,0.2,849.06,553.66,25.756,22.68,30.07,
2024-12-23T13:10:03+0000,23.91,0.26,1230.69,1263.31,26.476,22.12,30.54,
2024-12-23T13:38:09+0000,90.45,1.52,599.78,730.89,31.318,28.93,33.84,
2024-12-23T14:06:35+0000,94.55,3.65,854.4,842.24,31.002,27.72,37.29,
2024-12-23T14:38:06+0000,88.55,0.7,748.84,839.42,33.576,26.44,46.7,
2024-12-23T15:06:45+0000,90.18,0.27,674.07,698.12,32.912,26.86,35.52,
